,VN102_RD,VN102_C1,VN102_C2,VN102_C3,VN102_C4,VN102_C5
-3.26,5.416157527751825,3.3392934418010665,2.8460942578373247,2.660432389982928,8.914192578655312,9.003070831325974
-3.24,5.422772797721514,3.3463964958500365,2.8356225844453737,2.6551385678069512,8.90667700168206,8.936438868040966
-3.2199999999999998,5.427990799063484,3.354514471472875,2.8252948057899534,2.650463195792558,8.898692958623055,8.855739583524537
-3.2,5.430567146498526,3.362886177489213,2.8162620797608766,2.6465437073088385,8.882949227855729,8.772363942535938
-3.1799999999999997,5.431721064906739,3.3722359507357558,2.807366247761569,2.6431520228634553,8.866797092472282,8.678282875659871
-3.16,5.430377373123805,3.3818302407898426,2.7997024620299076,2.6404054322427033,8.844505937164323,8.582473912530737
-3.1399999999999997,5.427688814314849,3.3924939559209504,2.79216807892727,2.638111223551708,8.821891675544633,8.479753364390117
-3.12,5.422792672938441,3.4034250273213056,2.785798319485582,2.636369926108191,8.794892834268351,8.376256084073395
-3.1,5.4167078332564635,3.4156713950015094,2.77954881514929,2.6350177610892254,8.767663225641673,8.269651875052192
-3.08,5.40880894060178,3.4282465867516665,2.7743816067613154,2.634141202366931,8.737679496087845,8.16312418686124
-3.06,5.399933250192548,3.4425175775990415,2.7693224792578435,2.6336033947410478,8.707550812800976,8.056902581991302
-3.04,5.389708233415104,3.4572125182207096,2.7652360797149194,2.6334796162329988,8.676037016673748,7.95144558049622
-3.02,5.378756656285535,3.474058362245259,2.7612432316599174,2.63366409064843,8.644450319870694,7.849046992500645
-3.0,5.36699941706995,3.4914419321205137,2.758092346996234,2.6342253186370015,8.61252111537483,7.747907786992586
-2.98,5.354808359808041,3.511433958540693,2.7550195918675238,2.635085207491121,8.580573884158289,7.651806111434741
-2.96,5.342473237506788,3.532078099097084,2.752650002553592,2.636310126292052,8.548978613442403,7.5572671560738645
-2.94,5.330060541722808,3.5557387532966307,2.7503417461683233,2.637831269784299,8.517401866963398,7.468979081501041
-2.92,5.318290513996106,3.580153535906945,2.7485854861410357,2.639714465677076,8.486556200054784,7.382396002226566
-2.9,5.306866538300252,3.607933264748194,2.746871027381334,2.641880532355583,8.455749011018305,7.3026329041456775
-2.88,5.296938383675271,3.6365542301472726,2.7455327800299205,2.6443923299944565,8.425852486115673,7.224602239814551
-2.86,5.287815671165387,3.6688527704323226,2.744215829362927,2.647156915780169,8.396003890904305,7.153501310482672
-2.84,5.281018812570918,3.7020707044389702,2.743090548855721,2.6502304648564885,8.36719852986222,7.084090956611206
-2.82,5.275474336853998,3.739262321410676,2.741970129113036,2.6535168631146853,8.338448075881688,7.021442904581585
